Neighbourhood,Agincourt North,Agincourt South Malvern West,Malvern West,Malvern East,Milliken,Morningside Heights
Woodside Square (Finch/McCowan),9,0,1,1,6,1
Scarborough Town Centre,3,0,3,1,1,0
Milliken GO,2,0,1,1,3,0
Milliken Park (Steeles/McCowan),2,0,1,0,3,0
Malvern Town Centre (Sewells/McLevin),0,0,1,2,2,1
Midland/Finch,1,0,1,0,3,0
Agincourt GO,2,0,1,1,0,0
Goldhawk Park,3,0,1,0,0,0
Finch Hydro Corridor at-large,0,0,2,0,2,0
Chartwell Mall (Huntingwood/Brimley),3,0,0,0,0,0
Markham/Sheppard,0,1,1,1,0,0
Markham/Steeles,0,0,1,0,1,1
Morningside/Finch,0,0,0,0,0,3
