Neighbourhood Name,Agincourt South-Malvern West,Agincourt North,Milliken,Morningside Heights,Malvern West,Malvern East
Neighbourhood Number,128,129,130,144,145,146
TSNS 2020 Designation,Not an NIA or Emerging Neighbourhood,Not an NIA or Emerging Neighbourhood,Not an NIA or Emerging Neighbourhood,Not an NIA or Emerging Neighbourhood,Emerging Neighbourhood,Emerging Neighbourhood
Total - Age groups of the population - 25% sample data,24170,27540,23980,24940,17320,26095
  0 to 14 years,3005,3400,3225,4080,2830,3915
    0 to 4 years,945,965,970,1225,820,1095
    5 to 9 years,955,1230,1265,1325,980,1330
    10 to 14 years,1100,1210,985,1535,1030,1490
  15 to 64 years,16685,17705,15210,17160,11965,17645
    15 to 19 years,1045,1260,995,1615,1110,1520
    20 to 24 years,1790,1915,1455,2025,1460,2040
    25 to 29 years,2345,1925,1560,2030,1565,2125
    30 to 34 years,2050,1940,1740,1770,1110,1935
    35 to 39 years,1625,1580,1425,1610,1050,1545
    40 to 44 years,1275,1295,1290,1405,1125,1540
    45 to 49 years,1420,1460,1375,1385,1035,1735
    50 to 54 years,1490,2010,1590,1695,1130,1670
    55 to 59 years,1990,2210,1950,1925,1280,1770
    60 to 64 years,1665,2105,1820,1705,1090,1780
  65 years and over,4480,6430,5555,3705,2520,4525
    65 to 69 years,1370,1915,1675,1505,860,1515
    70 to 74 years,1180,1700,1465,890,785,1320
    75 to 79 years,705,1025,930,720,405,715
    80 to 84 years,590,885,710,295,315,555
    85 years and over,625,920,775,295,160,425
      85 to 89 years,395,575,510,210,120,295
      90 to 94 years,185,270,210,70,35,115
      95 to 99 years,40,70,50,10,10,10
      100 years and over,10,10,10,0,0,0
Total - Distribution (%) of the population by broad age groups - 25% sample data,100,100,100,100,100,100
  0 to 14 years,12.4,12.3,13.4,16.4,16.3,15
  15 to 64 years,69,64.3,63.4,68.8,69.1,67.6
  65 years and over,18.5,23.3,23.2,14.9,14.5,17.3
    85 years and over,2.6,3.3,3.2,1.2,0.9,1.6
Average age of the population,42.6,45.1,44.9,39.4,39.1,40.9
Median age of the population,40.8,46.4,46,38,38,40
Total - Persons in private households - 25% sample data,24170,27540,23980,24940,17320,26095
  Total - Persons in census families,19360,23185,20260,22415,14930,22145
    Married spouses or common-law partners,10870,12580,10945,11135,6975,10435
    Parents in one-parent families,1365,1735,1530,1285,1120,1985
    Children,7125,8870,7785,9990,6835,9725
      In a two-parent family,5195,6395,5525,7865,4950,6490
      In a one-parent family,1930,2470,2255,2125,1885,3235
  Total - Persons not in census families in private households - 25% sample data,4810,4350,3720,2525,2385,3950
    Living alone,2050,1505,1125,540,705,1610
    Living with other relatives,1045,1460,1140,1205,770,1245
    Living with non-relatives only,1710,1390,1455,785,910,1100
Number of persons in private households,24170,27540,23980,24940,17320,26095
Total - Marital status for the total population aged 15 years and over - 25% sample data,21160,24135,20760,20860,14490,22175
  Married or living common-law,11425,13155,11635,11725,7355,10855
    Married,10495,12500,10970,11310,6980,9970
    Living common-law,935,660,665,420,375,890
      Living common law - Never married,705,370,400,315,235,625
      Living common law - Separated,30,30,85,35,25,70
      Living common law - Divorced,190,235,160,70,110,180
      Living common law - Widowed,0,25,15,0,0,20
  Not married and not living common-law,9735,10980,9125,9135,7130,11320
    Not married and not living common law - Never married,6885,7185,6000,7145,5380,8240
    Not married and not living common law - Separated,465,500,425,520,465,700
    Not married and not living common law - Divorced,1340,1660,1535,620,730,1155
    Not married and not living common law - Widowed,1050,1635,1165,850,555,1230
Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,21160,24135,20760,20860,14490,22175
  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,20010,22930,19585,19755,13670,21045
    Median total income in 2020  among recipients ($),32000,30000,28400,34800,31600,33200
    Average total income in 2020 among recipients ($),41600,38480,36800,42000,37040,39760
  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,20010,22940,19585,19755,13680,21045
    Median after-tax income in 2020 among recipients ($),30400,28200,27200,32400,29800,31200
    Average after-tax income in 2020 among recipients ($),36000,33960,32800,36640,33200,35240
  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,17205,19125,16355,16340,11285,17195
    Median market income in 2020  among recipients ($),24200,20800,17800,29800,23200,26400
    Average market income in 2020 among recipients ($),36400,32520,30240,37920,31400,34640
  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,13720,14750,12375,14315,9555,14445
    Median employment income in 2020 among recipients ($),29800,23800,20000,32800,27800,31000
    Average employment income in 2020 among recipients ($),38520,34440,32160,39480,33760,36760
  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,18875,21730,18640,18610,13015,20025
    Median government transfers in 2020 among recipients ($),9300,12100,12200,9200,10300,11000
    Average government transfers in 2020 among recipients ($),10900,11970,12120,11270,11680,12040
  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,1905,2295,1885,2275,1625,2480
    Median employment insurance benefits in 2020 among recipients ($),5480,5520,5480,5520,5480,5520
    Average employment insurance benefits in 2020 among recipients ($),6235,6210,6010,6430,5730,6335
  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,7285,8460,7335,8050,5810,8110
    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),10000,10500,12000,10000,9500,10000
    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),10640,10720,11120,10090,9890,10160
Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,100,100,100,100,100,100
  Market income (%),75.2,70.6,68.6,74.8,70,71.2
    Employment income (%),63.5,57.6,55.3,68.2,63.7,63.4
  Government transfers (%),24.7,29.5,31.4,25.3,30.1,28.8
    Employment insurance benefits (%),1.4,1.6,1.6,1.8,1.8,1.9
    COVID-19 - Government income support and benefits (%),10.3,11.4,12.6,10.8,12.6,11
      COVID-19 - Emergency and recovery benefits (%),9.3,10.3,11.3,9.8,11.4,9.8
Total - Total income groups in 2020 for the population aged 15 years and over in private households - 25% sample data,21160,24135,20760,20860,14490,22175
  Without total income,1155,1205,1175,1105,820,1130
  With total income,20010,22930,19585,19755,13670,21045
"    Under $10,000 (including loss)",2200,2460,2175,2015,1515,2010
"    $10,000 to $19,999",3010,3905,3585,2915,2310,3280
"    $20,000 to $29,999",4025,5100,4565,3495,2630,4140
"    $30,000 to $39,999",2895,3295,2865,2900,2170,3045
"    $40,000 to $49,999",2085,2425,1940,2435,1655,2595
"    $50,000 to $59,999",1555,1765,1295,1700,1200,1960
"    $60,000 to $69,999",1135,1070,875,1245,820,1380
"    $70,000 to $79,999",950,890,650,915,445,850
